Run,BGO,Energy,Channel
579,BGO1,511,419.93
579,BGO1,5617,4768.27
579,BGO1,6128,5142.20
579,BGO1,11660,9040.67
579,BGO2,511,418.44
579,BGO2,5617,4764.87
579,BGO2,6128,5131.41
579,BGO2,11660,9214.82
579,BGO3,511,380.19
579,BGO3,5617,4372.40
579,BGO3,6128,4700.11
579,BGO3,11660,8701.43
579,BGO4,511,387.52
579,BGO4,5617,4388.11
579,BGO4,6128,4738.50
579,BGO4,11660,8725.11
579,BGO5,511,404.92
579,BGO5,5617,4671.92
579,BGO5,6128,4999.51
579,BGO5,11660,9245.71
579,BGO6,511,434.15
579,BGO6,5617,4995.72
579,BGO6,6128,5397.42
579,BGO6,11660,9291.08
581,BGO1,511,419.04
581,BGO1,5617,4765.73
581,BGO1,6128,5139.71
581,BGO1,11660,9139.20
581,BGO2,511,418.31
581,BGO2,5617,4767.22
581,BGO2,6128,5130.22
581,BGO2,11660,9241.24
581,BGO3,511,380.07
581,BGO3,5617,4337.36
581,BGO3,6128,4702.63
581,BGO3,11660,8707.97
581,BGO4,511,387.62
581,BGO4,5617,4387.20
581,BGO4,6128,4741.53
581,BGO4,11660,8721.86
581,BGO5,511,404.70
581,BGO5,5617,4683.17
581,BGO5,6128,5001.36
581,BGO5,11660,9321.62
581,BGO6,511,434.61
581,BGO6,5617,4995.80
581,BGO6,6128,5399.12
581,BGO6,11660,9296.23
605,BGO1,511,415.30
605,BGO1,5617,4757.95
605,BGO1,6128,5125.38
605,BGO1,11660,9067.06
605,BGO2,511,412.95
605,BGO2,5617,4761.58
605,BGO2,6128,5117.20
605,BGO2,11660,9259.27
605,BGO3,511,375.92
605,BGO3,5617,4372.40
605,BGO3,6128,4682.38
605,BGO3,11660,8716.04
605,BGO4,511,381.83
605,BGO4,5617,4368.76
605,BGO4,6128,4719.42
605,BGO4,11660,8709.87
605,BGO5,511,398.73
605,BGO5,5617,4646.28
605,BGO5,6128,4977.49
605,BGO5,11660,9200.61
605,BGO6,511,430.63
605,BGO6,5617,4968.16
605,BGO6,6128,5351.69
605,BGO6,11660,9283.61
641,BGO1,511,414.74
641,BGO1,5617,4750.65
641,BGO1,6128,5106.77
641,BGO1,11660,8927.81
641,BGO2,511,412.04
641,BGO2,5617,4758.77
641,BGO2,6128,5091.97
641,BGO2,11660,9079.25
641,BGO3,511,375.91
641,BGO3,5617,4372.40
641,BGO3,6128,4666.62
641,BGO3,11660,8501.81
641,BGO4,511,382.23
641,BGO4,5617,4361.09
641,BGO4,6128,4710.09
641,BGO4,11660,8542.32
641,BGO5,511,399.34
641,BGO5,5617,4630.14
641,BGO5,6128,4968.93
641,BGO5,11660,9019.31
641,BGO6,511,430.27
641,BGO6,5617,4957.47
641,BGO6,6128,5329.18
641,BGO6,11660,9120.50
653,BGO1,511,414.37
