Run,BGO,Energy,Channel
557,BGO1,511,399.93
557,BGO1,5617,4625.86
557,BGO1,6128,4989.30
557,BGO1,7115,5778.98
557,BGO2,511,406.68
557,BGO2,5617,4747.93
557,BGO2,6128,5135.23
557,BGO2,7115,5933.18
557,BGO3,511,361.87
557,BGO3,5617,4210.38
557,BGO3,6128,4539.07
557,BGO3,7115,5243.79
557,BGO4,511,374.84
557,BGO4,5617,4340.27
557,BGO4,6128,4698.49
557,BGO4,7115,5451.89
557,BGO5,511,389.21
557,BGO5,5617,4555.02
557,BGO5,6128,4935.88
557,BGO5,7115,5732.35
557,BGO6,511,413.92
557,BGO6,5617,4860.71
557,BGO6,6128,5270.95
557,BGO6,7115,6086.57
595,BGO1,511,400.25
595,BGO1,5617,4629.07
595,BGO1,6128,4987.82
595,BGO1,7115,5796.16
595,BGO2,511,406.55
595,BGO2,5617,4740.10
595,BGO2,6128,5133.67
595,BGO2,7115,5926.96
595,BGO3,511,361.61
595,BGO3,5617,4227.09
595,BGO3,6128,4540.88
595,BGO3,7115,5249.88
595,BGO4,511,375.50
595,BGO4,5617,4335.18
595,BGO4,6128,4698.71
595,BGO4,7115,5432.70
595,BGO5,511,388.66
595,BGO5,5617,4565.43
595,BGO5,6128,4926.14
595,BGO5,7115,5718.89
595,BGO6,511,413.50
595,BGO6,5617,4869.32
595,BGO6,6128,5251.25
595,BGO6,7115,6068.77
614,BGO1,511,398.36
614,BGO1,5617,4612.94
614,BGO1,6128,4979.88
614,BGO1,7115,5764.48
614,BGO2,511,405.88
614,BGO2,5617,4738.94
614,BGO2,6128,5119.16
614,BGO2,7115,5921.73
614,BGO3,511,361.47
614,BGO3,5617,4144.63
614,BGO3,6128,4540.13
614,BGO3,7115,5254.94
614,BGO4,511,374.91
614,BGO4,5617,4339.93
614,BGO4,6128,4699.65
614,BGO4,7115,5440.30
614,BGO5,511,388.34
614,BGO5,5617,4564.49
614,BGO5,6128,4925.17
614,BGO5,7115,5692.07
614,BGO6,511,412.60
614,BGO6,5617,4850.87
614,BGO6,6128,5248.72
614,BGO6,7115,6043.97
628,BGO1,511,399.05
628,BGO1,5617,4602.22
628,BGO1,6128,4974.34
