Run,BGO,Energy,Channel
2164,BGO1,1173.2,2428.3501516092324
2164,BGO1,1332.5,2758.876611052487
2164,BGO2,1173.2,2025.1650659834022
2164,BGO2,1332.5,2298.112256768322
2164,BGO3,1173.2,2059.011310326747
2164,BGO3,1332.5,2329.1084530419917
2164,BGO4,1173.2,1922.7587886065155
2164,BGO4,1332.5,2185.3719562578513
2164,BGO5,1173.2,1909.1082210870911
2164,BGO5,1332.5,2167.8801125519294
2164,BGO6,1173.2,2159.4791553919276
2164,BGO6,1332.5,2451.610842269716
2164,BGO1,2505.7,5194.73
2164,BGO2,2505.7,4318.68
2164,BGO3,2505.7,4418.80
2164,BGO4,2505.7,4143.47
2164,BGO5,2505.7,4093.41
2164,BGO6,2505.7,4619.04
2787,BGO1,1173.2,2467.8648736236187
2787,BGO1,1332.5,2803.560938462955
2787,BGO2,1173.2,1995.8880853822748
2787,BGO2,1332.5,2268.0283575772196
2787,BGO3,1173.2,2202.144360595145
2787,BGO3,1332.5,2473.1467770426098
2787,BGO4,1173.2,1921.8233448584394
2787,BGO4,1332.5,2183.9138987148285
2787,BGO5,1173.2,1905.0930875223546
2787,BGO5,1332.5,2161.8372821399303
2787,BGO6,1173.2,2006.6837243945795
2787,BGO6,1332.5,2250.7875841856944
2787,BGO1,2505.7,5269.82
2787,BGO2,2505.7,4268.62
2787,BGO3,2505.7,4719.16
2787,BGO4,2505.7,4118.44
2787,BGO5,2505.7,4093.41
2787,BGO6,2505.7,4293.65
