### Start time: 2026-02-11 12:09:48.642573 ###
# Time(s)	Current(uA)
2.00695992e-01	-1.076e-02
1.19161105e+00	-1.076e-02
2.21467185e+00	-1.077e-02
3.19003701e+00	-1.079e-02
4.19701886e+00	-1.080e-02
5.18821001e+00	1.528e-02
6.19509292e+00	1.100e+02
7.18620992e+00	1.060e+02
8.19291306e+00	1.027e+02
9.18391800e+00	1.024e+02
1.01906250e+01	1.031e+02
1.11817110e+01	1.026e+02
1.21726890e+01	1.024e+02
1.31796100e+01	1.031e+02
1.41705790e+01	1.026e+02
1.51775110e+01	1.024e+02
1.61685269e+01	1.031e+02
1.71753600e+01	1.027e+02
1.81663740e+01	1.025e+02
1.91731849e+01	1.032e+02
2.01642709e+01	1.026e+02
2.11710339e+01	1.024e+02
2.21626070e+01	1.031e+02
2.31532629e+01	1.026e+02
2.41601899e+01	1.025e+02
2.51511190e+01	1.033e+02
2.61579669e+01	1.027e+02
2.71488559e+01	1.027e+02
2.81557860e+01	1.034e+02
2.91466990e+01	1.027e+02
3.01536241e+01	1.026e+02
3.11444559e+01	1.033e+02
3.21512871e+01	1.027e+02
3.31424570e+01	1.027e+02
3.41334178e+01	1.034e+02
3.51402960e+01	1.027e+02
3.61311400e+01	1.027e+02
3.71380179e+01	1.035e+02
3.81288419e+01	1.027e+02
3.91358180e+01	1.028e+02
4.01267419e+01	1.035e+02
4.11335309e+01	1.027e+02
4.21245060e+01	1.028e+02
4.31312160e+01	1.036e+02
4.41222761e+01	1.027e+02
4.51290350e+01	1.029e+02
4.61200259e+01	1.035e+02
4.71111889e+01	1.028e+02
4.81180151e+01	1.029e+02
4.91091249e+01	1.036e+02
5.01159720e+01	1.028e+02
5.11068459e+01	1.030e+02
5.21136270e+01	1.036e+02
5.31046300e+01	1.028e+02
5.41116829e+01	1.030e+02
5.51026459e+01	1.036e+02
5.61094019e+01	1.028e+02
5.71005290e+01	1.030e+02
5.80913770e+01	1.037e+02
5.90983789e+01	1.028e+02
6.00893269e+01	1.030e+02
6.10962670e+01	1.037e+02
6.20871711e+01	1.028e+02
6.30941999e+01	1.031e+02
6.40850489e+01	1.037e+02
6.50919709e+01	1.028e+02
6.60829239e+01	1.031e+02
6.70898640e+01	1.037e+02
6.80807450e+01	1.029e+02
6.90875430e+01	1.031e+02
7.00786231e+01	1.037e+02
7.10694361e+01	1.028e+02
7.20763760e+01	1.032e+02
7.30726941e+01	1.037e+02
7.40827429e+01	1.028e+02
7.50653250e+01	1.032e+02
7.60721250e+01	1.038e+02
7.70631530e+01	1.028e+02
7.80700319e+01	1.032e+02
7.90610640e+01	1.038e+02
8.00677149e+01	1.028e+02
8.10589869e+01	1.032e+02
8.20498250e+01	1.037e+02
8.30568159e+01	1.029e+02
8.40477369e+01	1.034e+02
8.50548229e+01	1.037e+02
8.60457120e+01	1.029e+02
8.70525899e+01	1.033e+02
8.80436261e+01	1.037e+02
8.90502939e+01	1.029e+02
9.00413809e+01	1.033e+02
9.10481050e+01	1.037e+02
9.20391679e+01	1.029e+02
9.30459120e+01	1.033e+02
9.40370240e+01	1.037e+02
9.50279911e+01	1.029e+02
9.60349190e+01	1.034e+02
9.70259900e+01	1.037e+02
9.80329480e+01	1.030e+02
9.90239959e+01	1.035e+02
1.00030769e+02	1.037e+02
1.01021667e+02	1.030e+02
1.02028557e+02	1.035e+02
1.03019606e+02	1.037e+02
1.04026364e+02	1.029e+02
1.05017476e+02	1.035e+02
1.06008236e+02	1.037e+02
1.07015192e+02	1.030e+02
1.08006177e+02	1.036e+02
1.09012915e+02	1.037e+02
1.10003868e+02	1.030e+02
1.11010843e+02	1.036e+02
1.12001771e+02	1.037e+02
1.13008661e+02	1.030e+02
1.13999605e+02	1.036e+02
1.15006496e+02	1.036e+02
1.15997662e+02	1.030e+02
1.17004198e+02	1.036e+02
1.17995300e+02	1.037e+02
1.18986242e+02	1.031e+02
1.19993233e+02	1.037e+02
1.20984118e+02	1.037e+02
1.21991021e+02	1.031e+02
1.22981895e+02	1.037e+02
1.23988774e+02	1.036e+02
1.24979926e+02	1.031e+02
1.25986677e+02	1.037e+02
1.26977783e+02	1.036e+02
1.27984434e+02	1.032e+02
1.28975582e+02	1.038e+02
1.29966529e+02	1.036e+02
1.30973422e+02	1.032e+02
1.31964262e+02	1.037e+02
1.32971163e+02	1.035e+02
1.33962195e+02	1.032e+02
1.34968974e+02	1.038e+02
1.35960009e+02	1.036e+02
1.36966854e+02	1.032e+02
1.37957960e+02	1.039e+02
1.38964807e+02	1.035e+02
1.39955684e+02	1.033e+02
1.40962470e+02	1.038e+02
1.41953589e+02	1.035e+02
1.42944755e+02	1.032e+02
1.43951696e+02	1.039e+02
1.44942615e+02	1.036e+02
1.45949391e+02	1.034e+02
1.46940334e+02	1.040e+02
1.47947158e+02	1.036e+02
1.48938083e+02	1.033e+02
1.49944945e+02	1.040e+02
1.50936313e+02	1.035e+02
1.51946882e+02	1.034e+02
1.52933952e+02	1.040e+02
1.53924836e+02	1.035e+02
1.54931765e+02	1.033e+02
1.55922773e+02	1.041e+02
1.56929751e+02	1.036e+02
1.57920460e+02	1.034e+02
1.58927163e+02	1.041e+02
1.59918222e+02	1.035e+02
1.60924901e+02	1.034e+02
1.61918863e+02	1.042e+02
1.62922573e+02	1.036e+02
1.63913651e+02	1.035e+02
1.64920370e+02	1.041e+02
1.65911609e+02	1.035e+02
1.66902594e+02	1.035e+02
1.67909525e+02	1.042e+02
1.68900392e+02	1.035e+02
1.69907267e+02	1.035e+02
1.70898227e+02	1.042e+02
1.71905146e+02	1.035e+02
1.72896056e+02	1.035e+02
1.73902954e+02	1.042e+02
1.74893976e+02	1.034e+02
1.75900827e+02	1.035e+02
1.76892024e+02	1.043e+02
1.77882876e+02	1.035e+02
1.78889734e+02	1.035e+02
1.79880955e+02	1.042e+02
1.80887844e+02	1.035e+02
1.81878898e+02	1.036e+02
1.82885728e+02	1.043e+02
1.83876662e+02	1.034e+02
1.84883565e+02	1.035e+02
1.85874592e+02	1.042e+02
1.86881280e+02	1.034e+02
1.87872605e+02	1.036e+02
1.88863474e+02	1.043e+02
1.89870437e+02	1.034e+02
1.90861154e+02	1.037e+02
1.91868374e+02	1.042e+02
1.92859501e+02	1.035e+02
1.93866142e+02	1.036e+02
1.94857321e+02	1.043e+02
1.95864124e+02	1.034e+02
1.96854958e+02	1.036e+02
1.97861735e+02	1.042e+02
1.98852854e+02	1.035e+02
1.99859651e+02	1.035e+02
2.00850872e+02	1.042e+02
2.01841784e+02	1.035e+02
2.02848496e+02	1.036e+02
2.03839413e+02	1.042e+02
2.04846570e+02	1.035e+02
2.05837424e+02	8.543e+01
2.06844531e+02	-5.620e-03
2.07835839e+02	-9.999e-03
2.08842788e+02	-1.071e-02
2.09834953e+02	-1.072e-02
2.10826076e+02	-1.073e-02
2.11833589e+02	-1.075e-02
2.12824963e+02	-1.076e-02
2.13832112e+02	-1.078e-02
2.14823599e+02	-1.078e-02
2.15830670e+02	-1.078e-02
2.16822281e+02	-1.079e-02
2.17813655e+02	-1.079e-02
