Segment#, Chi-Squared,  N,  Norm,  Norm-Chi-Squared 
1,0,75,1,0
2,0,75,1,0
3,930.866,75,1,0
4,0,47,1,0
5,0,47,1,0
6,80.2573,47,1.5,0
13,0,35,1,0
14,0,35,1,0
15,5904.23,35,0.0021,0
16,0,17,1,0
17,0,17,1,0
18,76.1466,17,0.00072,0
19,0,17,1,0
20,0,17,1,0
21,3523.41,17,0.00375,0
22,102.387,27,1,0
23,137.318,27,1,0
24,1287.78,150,1.5,0
25,327.759,15,1.5,0
26,2120.37,107,1.5,0
27,4627.73,246,1,0
38,771.136,185,0.0072,0
39,583.935,109,0.002,0
40,178.88,75,0.0072,0
41,262.049,89,0.0072,0
42,84945,31,1,0
43,61229.3,25,1,0
44,51961,18,1,0
45,95583.9,146,1.47,0
46,227853,148,1.39,0
47,23369.5,26,1,0
48,33294.3,25,1,0
55,33032.3,11,0.3,0
56,103253,8,3e-07,0
57,16030.5,7,2.5e-07,0
58,23472.2,38,5e-07,0
59,94985.4,8,7.5e-07,0
60,102110,11,0.5,0
61,13842.1,9,1e-06,0
62,91561.6,8,2e-06,0
63,14300.7,5,1.4e-06,0
64,6910.1,8,1e-06,0
65,10000.2,8,3e-06,0
66,89645.2,11,0.7,0
67,46280.4,19,2.5e-06,0
68,92.6666,5,1.7e-05,0
69,45777.2,9,1.8e-05,0
70,29279.6,12,1,0
71,203127,10,2e-05,0
72,26128.3,12,1,0
73,29589.8,8,1.1e-05,0
74,183096,11,4.13e-05,0
75,9475.49,12,7e-05,0
76,199058,17,4.75e-05,0
77,26480.2,13,1,0
78,8743.81,14,0.00015,0
79,26620.2,16,0.00012,0
80,119484,12,0.7,0
81,58404.4,12,1,0
82,32596,12,1,0
83,5069.3,14,0.0001,0
84,1112.82,11,1,0
85,170206,49,0.3,0
86,359474,33,1,0
87,191.482,65,0.5,0
88,104.543,12,1,0
89,300.631,41,1,0
90,117.125,54,1,0
91,519.161,60,1,0
92,17211.3,11,2.2e-08,0
93,143.163,12,1,0
94,36.4661,12,1,0
95,120.143,12,1,0
96,338.27,12,1,0
130,5.18728,4,3.568e-06,0
131,167.082,4,1.05e-06,0
132,88.7911,6,0.0051,0
133,1916.5,7,9.5e-05,0
134,180.458,5,1e-10,0
135,2560.92,5,1e-05,0
136,879.32,5,0.0037,0
137,6220.96,5,2.8,0
138,1323.33,5,315,0
139,6.30178,6,1,0
140,73.069,22,1,0
141,70.3844,30,1,0
142,804.954,20,1,0
143,109.61,6,0.257,0
144,125.566,4,0.478,0
145,308.046,8,0.4,0
146,879.497,10,0.7,0
147,1429.63,11,0.48,0
148,10012.5,11,0.66,0
150,26240.9,11,0.8,0
Total-Chi-Squared: 2.85087e+06 Total-Norm-Chi-Squared: 0 Total-N: 2931

