                  T9                Rate
                0.01         3.33989e-25
                0.02         1.32028e-18
                0.03         1.99168e-15
                0.04         1.92091e-13
                0.05           4.814e-12
                0.06         5.52472e-11
                0.07         3.84124e-10
                0.08         1.89242e-09
                0.09         7.28003e-09
                 0.1         2.33499e-08
                0.15         2.20179e-06
                 0.2         7.70825e-05
                 0.3          0.00751666
                 0.4            0.101391
                 0.5            0.644162
                 0.6             3.06953
                 0.7             11.2218
                 0.8              31.799
                 0.9             73.3041
                   1             144.324
