============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.6102E+02 -3.2779E+02  2.0556E+02
0000002   1.5005E+02 -3.7187E+01  1.5569E+02
0000003   2.5496E+02 -7.2657E+01  1.3470E+02
0000004   4.0755E+02  3.8960E+01 -8.0617E+01
0000005   2.8634E+02  4.6224E+02  2.5222E+02
0000006   3.0445E+02  8.1818E+01 -2.9441E+01
0000007   2.2973E+02 -3.8972E+01  2.6140E+02
0000008   2.1866E+02  2.2067E+02  1.5076E+02
0000009   1.5577E+02  3.0852E+02 -3.7635E+01
0000010   1.3529E+02  1.0088E+02 -6.1584E+01
0000011   6.9598E+01  4.9135E+01  1.2192E+02
0000012   2.7434E+02 -4.8056E+01  1.1310E+02
0000013   3.1597E+02  2.9045E+01  1.2184E+02
0000014   3.4880E+02  9.4387E+01 -1.0934E+02
0000015   3.5351E+02  1.5082E+02 -6.7348E+01
0000016   3.2908E+02 -3.4426E+01 -4.3406E+01
0000017   4.9898E+02  8.6110E+01 -2.1197E+02
0000018   4.0715E+02  5.5126E+01 -1.9678E+02
0000019   6.0918E+02 -1.0264E+02  4.2012E+01
0000020   4.4417E+02 -1.3018E+02 -5.9845E+01
0000021   3.3056E+02 -1.3117E+02 -1.3564E+02
0000022   2.3813E+02  3.6501E+01  3.2363E+02
0000023   2.7618E+02 -8.1636E-01 -8.9130E+01
0000024   2.4750E+02 -6.9867E+00  1.3037E+02
0000025   1.6886E+02 -2.1265E+02  2.0369E+02
0000026   1.9900E+02  1.2491E+02  2.0098E+02
0000027   1.4533E+02 -3.9409E+01  1.8670E+01
0000028   5.2251E+02 -6.1703E+01  1.9656E+02
0000029   2.7972E+02  2.7913E+01  5.5653E+01
0000030   8.9691E+01  2.4366E+01  2.3556E+02
0000031   2.0657E+02  2.7159E+02 -1.1580E+02
0000032   8.5852E+01 -2.5050E+02 -1.3081E+02
0000033   3.0184E+02 -1.1660E+01  1.2126E+02
0000034   4.0515E+02 -1.9467E+02  1.7654E+02
0000035   1.1230E+02  5.0654E+01 -3.0214E+02
0000036   4.7069E+02 -1.0576E+02 -4.4674E+01
0000037   2.6575E+02  9.7789E+01 -1.0469E+02
0000039   3.1496E+02  1.0401E+02  9.5690E+01
0000040   4.8381E+02 -1.1267E+02 -9.0151E+01
0000041   2.2657E+02 -2.4402E+01  2.2194E+02
0000042   1.8769E+02  3.5132E+02 -2.0478E+02
0000043   6.7439E+01  1.3667E+02  1.1216E+02
0000044   2.7332E+02  1.1431E+02 -3.0256E+02
0000045   2.6583E+02 -2.3202E+01  6.2673E+01
0000046   4.6788E+02  4.2581E+02  5.0206E+01
0000047   4.8884E+02  1.8474E+02 -1.4085E+02
0000048   1.6047E+02  1.4777E+02 -1.1688E+02
0000049   2.8637E+02 -2.1498E+02 -1.6692E+02
0000050   5.1624E+02  4.8325E+01  7.0796E+01
0000051   3.7134E+02  5.8986E+01 -1.0478E+02
0000052   7.3169E+01 -9.5772E+01 -1.1181E+02
0000054   2.1715E+02 -3.4368E+01  3.9421E+01
0000055   4.6011E+02 -2.2212E+02 -4.1571E+01
0000056   1.6283E+02  5.6072E+01  8.6508E+01
0000057   1.8165E+02 -2.5939E+02 -1.2820E+02
0000058   3.0060E+02 -1.1699E+02  2.0598E+02
0000059   4.0179E+02  1.1743E+02 -1.0921E+02
0000060   1.5846E+02 -2.6430E+02 -4.3901E+01
0000061   5.3603E+02 -2.6856E+02 -8.8433E+01
0000062   1.8439E+02  9.1485E+00 -2.5484E+02
0000063   3.2204E+02  9.8759E+01  9.4725E+01
0000064   4.3859E+02  9.1418E-01 -2.4911E+02
0000065   4.0977E+02  1.9991E+02 -1.5163E+02
0000066   2.2100E+02  5.2787E+01  2.0424E+02
0000067   5.1811E+02  3.8586E+02  2.7895E+00
0000068   1.1600E+02  6.0050E+01 -7.2761E+00
0000069   3.0832E+02 -7.0375E+00  1.4527E+02
0000070   6.9641E+02  8.9155E+01 -1.0732E+02
0000071   3.6519E+02 -8.4011E+01  1.7371E+02
0000072   3.0592E+02  1.0430E+01 -1.3380E+02
0000073   2.6326E+02 -7.4072E+01 -5.7435E+01
0000074   1.2727E+02  1.3197E+01 -1.2413E+02
0000075   4.0857E+02  5.9962E+01  6.3635E+01
0000076   5.1742E+02 -2.0538E+01 -4.8294E+01
0000077   3.0949E+02 -1.8580E+02  3.4957E+01
0000078   4.3267E+02 -4.2043E+01  8.6109E+01
0000079   2.3493E+02 -2.4022E+02 -1.9918E+02
0000080   1.4889E+02 -3.5961E+01  1.3854E+02
0000081   6.7256E+02 -1.7881E+02 -1.2197E+02
0000083   3.4384E+02  1.1546E+02  3.2023E+01
0000084   1.3715E+02  2.5808E+02 -3.2186E+01
0000085   3.3907E+02  8.9915E+01  1.6835E+02
0000086   2.1478E+02 -2.2872E+02 -8.3894E+01
0000087   1.2695E+02 -2.7873E+01 -4.3363E+01
0000088   2.9352E+02 -4.0726E+02  8.5302E+01
0000089   1.7090E+02  1.2261E+02  8.9844E+01
0000090   3.3908E+02 -5.3135E+02  4.4625E+01
0000091   5.5450E+02 -2.5399E+02  3.0926E+02
0000092   2.8739E+02  2.5352E+01 -5.6003E+01
0000093   1.5398E+02 -1.0154E+02 -1.5911E+01
0000094   3.2135E+02  7.3939E+01  1.9306E+02
0000096   4.5564E+02  1.7181E+02 -5.4735E+01
0000097   4.6860E+02  2.0483E+02  1.8492E+02
0000098   4.0020E+02  1.0655E+02  2.4617E+02
0000099   7.3067E+01 -3.7004E-01  9.1103E+01
0000100   3.6315E+02 -1.9684E+02 -2.6976E+02
0000101   2.0653E+02 -9.4061E+00 -2.7162E+00
0000102   5.2363E+02 -1.3168E+02 -2.3509E+00
0000103   2.1352E+02 -1.2464E+02  1.1641E+02
0000104   5.0327E+02 -1.8987E+02 -6.4087E+01
0000105   2.8505E+02 -2.5446E+01 -1.2023E+02
0000106   1.4661E+02  4.2188E+01  2.1334E+01
0000107   1.3684E+02  8.4014E+01 -8.9713E+01
0000108   1.6694E+02  1.3325E+01 -2.0366E+00
0000109   8.5501E+01  1.9862E+02 -1.8023E+02
0000110   3.7227E+02 -2.1148E+02  7.0385E+01
