Run Number,Scan,Energy,Yield,Yield Error
1727,Scan 1,358.9768663,30.173898524168788,0.20816021577274474
1743,Scan 1,333.0974281,3.1905610857940028,0.04516201170872976
1744,Scan 1,337.0795678,8.879001496328375,0.09935723023552599
1745,Scan 1,339.0661678,19.60529873588599,0.13626624594423922
1746,Scan 1,340.0604611,35.0789860268269,0.19293398904656092
1747,Scan 1,341.0607142,66.49011465571019,0.26251575114855374
1748,Scan 1,342.0470611,96.92658282164663,0.33726092208515746
1749,Scan 1,343.0413544,123.55536430018664,0.37764566002202554
1750,Scan 1,344.0445874,138.71881239685663,0.4554477972632349
1751,Scan 1,345.0378874,148.02313339056133,0.4636216082349844
1753,Scan 1,349.0170472,135.0128381438112,0.42947437935369764
1754,Scan 1,346.0292008,151.69682459568156,0.510714508051743
1755,Scan 1,347.0294539,150.93522595517393,0.5682776403797851
1756,Scan 1,351.0106003,112.282418348435,0.44059771544498105
1757,Scan 1,352.9981936,86.2496471440578,0.43377693466753525
1758,Scan 1,354.9907534,60.081962877991934,0.3287834067834985
1759,Scan 1,356.9773534,38.30013487033202,0.28977028691815687
1760,Scan 1,360.9604864,16.092998028584912,0.20002494265446913
1761,Scan 1,364.935673,7.501299141941031,0.1246069857097165
1762,Scan 1,259.6369333,1.9837449040097581,0.02346682410934622
1763,Scan 1,256.6570333,1.9967948120061463,0.0239709361935189
1764,Scan 1,252.6838333,2.630368084651679,0.03049509977547896
1765,Scan 1,248.6927539,3.8626362900143643,0.04394185233417332
1766,Scan 1,246.7051606,4.9375953799704,0.05423964377609137
1767,Scan 1,244.7116075,6.425579257753073,0.04975540894587059
1768,Scan 1,242.7240142,8.468069303047933,0.04415606351956829
1769,Scan 1,240.7364209,11.125913764493218,0.05859315949549402
1770,Scan 1,238.7428678,13.961621144928888,0.06879231951279594
1771,Scan 1,236.7483214,16.67272521872372,0.08131005403688985
1772,Scan 1,234.7617214,20.266750725042087,0.08886874544903638
1773,Scan 1,232.767175,23.115961049648593,0.11242554702985201
1774,Scan 1,230.7736219,24.380207152269367,0.12580494905114492
1775,Scan 1,228.7721224,23.01597040957396,0.10787445716336257
1776,Scan 1,226.7855224,18.917720918609422,0.09855921032679753
1777,Scan 1,225.7852693,14.767517718045967,0.07672291881614794
1778,Scan 1,224.790976,7.819952760011447,0.05877504378217877
1779,Scan 1,223.7907229,2.4839458734044957,0.026413001810315934
1780,Scan 1,221.7971698,0.8612531053104628,0.018357806146907886
1781,Scan 1,219.8026234,0.5157953262525952,0.01277566750165706
1782,Scan 1,217.8150301,0.38215894589734756,0.010681667265451668
1786,Scan 2,258.6485998,1.895037217297661,0.014149556888295072
1787,Scan 2,256.6629931,1.9268001630579081,0.015348726471592489
1788,Scan 2,252.6868132,2.504787323149035,0.02010467315406114
1789,Scan 2,248.6987137,3.706619115942366,0.028288209576031752
1790,Scan 2,246.7180735,4.699307809509846,0.02547808241171261
1791,Scan 2,244.7245204,6.132998770339495,0.03312135792554801
1792,Scan 2,242.729974,8.069991147084883,0.043214391629510504
1793,Scan 2,240.7423807,10.703681642514661,0.05278966197808702
1794,Scan 2,238.7488276,12.7957170231642,0.06665340055486332
1795,Scan 2,236.7612343,15.967905048380997,0.061652602584142395
1796,Scan 2,234.7676812,19.84942643952836,0.07517859254201747
1797,Scan 2,232.7731348,23.093036176280684,0.08502565281425768
1798,Scan 2,230.7795817,24.47417884047971,0.08993302620019857
1799,Scan 2,228.7909951,23.690954286729706,0.08913557318208708
1800,Scan 2,226.7914822,19.906932129499424,0.0753504686223158
1801,Scan 2,225.8011621,12.004290509807698,0.06384628692006804
1802,Scan 2,224.8038889,4.062936746211996,0.03063598389838847
1803,Scan 2,223.7966827,1.6561733392659113,0.019546716427432765
1804,Scan 2,221.8090894,0.7351236152038654,0.012479455504618705
1805,Scan 2,219.8155363,0.469754091032438,0.011440415187783541
1806,Scan 2,217.8249631,0.3512567723534935,0.0095706384121996
1811,Scan 3,258.9336769,1.8725844880328708,0.018684783474655412
1812,Scan 3,256.9460836,1.8831709905302683,0.013360863892775725
1813,Scan 3,252.9778501,2.4595577256603507,0.021795889482281273
1814,Scan 3,248.9897506,3.590654076702159,0.01940044006812461
1815,Scan 3,247.497814,4.296766491700312,0.023233233239243197
1816,Scan 3,245.511214,5.586656537321844,0.02905581893855845
1817,Scan 3,243.5216341,7.308465019335324,0.03903528742084912
1818,Scan 3,241.5340408,9.770118417454736,0.04124579635771518
1819,Scan 3,239.5394944,12.380925427767693,0.046993287585395456
1820,Scan 3,237.5459413,14.669608825880289,0.05616830586872846
1821,Scan 3,235.5513949,18.435704892459757,0.06272861769279006
1822,Scan 3,233.5578418,22.075446182728548,0.08234584882022745
1823,Scan 3,231.5632954,24.627244955733833,0.09112955154759705
1824,Scan 3,229.5766954,24.38127008285635,0.08181311815256362
1825,Scan 3,227.582149,22.460004129781876,0.08476137130924398
1826,Scan 3,226.588849,17.69481931461013,0.0665293996689402
1827,Scan 3,225.5816428,8.105918486544967,0.04301084557605665
1828,Scan 3,224.5883428,2.6618897986355368,0.02019250389929626
1829,Scan 3,222.5937964,0.8743855875788461,0.015184333354569082
1830,Scan 3,220.6002433,0.5522759771192454,0.011171347257656648
1831,Scan 3,218.6056969,0.4138501645005891,0.011377928756123144
1836,Scan 4,258.8144809,1.8607588515600544,0.016145147137116175
1837,Scan 4,256.8278809,1.8748369342192308,0.016538458915237357
