Run Number,Scan,Charge,Energy,Yield,Yield Error
2015,Scan 1,10619.3797663029,344.2074886,366.6858221189385,0.1858221510427994
2016,Scan 1,7205.933350961601,342.3798166,304.91206246124887,0.20570373736851258
2017,Scan 1,3522.5028322125,341.3825434,254.39610489600335,0.26873829238683133
2018,Scan 1,4584.749485622,340.3693774,184.39764324119983,0.20054871232288637
2019,Scan 1,2975.2321095023,339.4019032,95.67287173692691,0.17932216716723914
2020,Scan 1,3281.3295418375,338.394697,51.776878193361824,0.12561543500405575
2021,Scan 1,3419.4884869859006,337.4143099,32.52270052180425,0.09752427425211227
2022,Scan 1,3373.5143465776996,335.4277099,16.494371828134863,0.06992405561313537
2023,Scan 1,2633.4956329292,333.4331635,9.916477427742173,0.06136382356581215
2024,Scan 1,2667.5632628427998,331.4396104,6.545299316123069,0.04953445532626465
2025,Scan 1,2729.6205930389997,329.4589702,4.7072476053145085,0.041527174098805644
2026,Scan 1,2941.3257043933004,344.3773429,357.92499906675687,0.3488385375480765
2027,Scan 1,2849.7628616444,345.3706429,348.80867225086195,0.3498559592295538
2028,Scan 1,3018.7593816406998,346.3649362,320.2732903721951,0.3257212643349874
2029,Scan 1,3111.40597857614,347.3651893,282.4857977557208,0.30131445603163143
2030,Scan 1,2818.1390481525004,348.3584893,241.16695038364264,0.29253490089564527
2031,Scan 1,2669.5549464710994,349.3517893,197.50745370384084,0.27200213500279397
2032,Scan 1,3732.1615930826,350.3460826,160.33282189846395,0.2072673994909718
2033,Scan 1,2587.4037449064,351.3532888,129.53448052311003,0.22374873708847873
2034,Scan 1,2637.4517507611,352.3396357,104.21688280010451,0.19878187271981723
2035,Scan 1,3161.0713555639004,353.333929,84.88134870088543,0.16386605035757432
2036,Scan 1,2792.6871100799,355.320529,57.8442888990089,0.14391932153875617
2037,Scan 1,2763.0097365141,357.3021625,41.07984076205255,0.12193353594655702
2038,Scan 1,2764.4204822432002,359.3026687,30.84805677998798,0.10563597734183398
2039,Scan 1,2633.4862980203,361.2962218,24.02746505556804,0.09551870934642472
2040,Scan 1,2862.9507851835,363.2838151,19.293380901222744,0.08209131791796637
2041,Scan 1,2852.1883729757997,365.2714084,15.78577362792651,0.07439501449780221
2043,Scan 2,5749.9340700735,343.3244449,335.3591496007103,0.24150362132407222
2044,Scan 2,3031.0170070971,342.338098,295.8845159562213,0.31244021836223435
2045,Scan 2,3149.9430099291003,341.3378449,233.05850222875105,0.27200765559925744
